order_id,payment_sequential,payment_type,payment_installments,payment_value
order_000000,1,credit_card,5,67.42
order_000001,1,boleto,3,212.71
order_000002,1,boleto,1,42.9
order_000003,1,credit_card,1,53.9
order_000004,1,boleto,1,20.29
order_000005,1,voucher,1,231.62
order_000006,1,boleto,6,59.97
order_000007,1,credit_card,8,202.9
order_000008,1,boleto,3,56.29
order_000009,1,credit_card,2,204.04
order_000010,1,credit_card,4,48.51
order_000011,1,credit_card,1,63.61
order_000012,1,credit_card,3,20.55
order_000013,1,credit_card,4,130.31
order_000014,1,credit_card,1,62.94
order_000015,1,credit_card,1,131.68
order_000016,1,credit_card,1,32.84
order_000017,1,credit_card,1,84.39
order_000018,1,credit_card,2,43.63
order_000019,1,credit_card,2,35.69
order_000020,1,credit_card,1,340.52
order_000021,1,credit_card,5,45.13
order_000022,1,credit_card,6,92.61
order_000023,1,voucher,7,173.04
order_000024,1,credit_card,3,170.06
order_000025,1,credit_card,2,24.89
order_000026,1,boleto,5,131.23
order_000027,1,credit_card,1,61.39
order_000028,1,credit_card,2,115.28
order_000029,1,credit_card,4,43.53
order_000030,1,credit_card,10,81.58
order_000031,1,credit_card,10,94.79
order_000032,1,credit_card,5,62.04
order_000033,1,credit_card,3,79.24
order_000034,1,boleto,9,56.82
order_000035,1,voucher,3,36.66
order_000036,1,credit_card,1,258.61
order_000037,1,credit_card,7,255.74
order_000038,1,credit_card,8,139.65
order_000039,1,credit_card,1,317.43
order_000040,1,voucher,6,195.37
order_000041,1,credit_card,1,190.43
order_000042,1,credit_card,1,51.82
order_000043,1,credit_card,1,33.93
order_000044,1,credit_card,8,183.43
order_000045,1,credit_card,3,24.76
order_000046,1,credit_card,1,111.68
order_000047,1,credit_card,7,112.59
order_000048,1,credit_card,4,62.49
order_000049,1,credit_card,1,385.05
order_000050,1,voucher,1,67.57
order_000051,1,boleto,2,91.91
order_000052,1,credit_card,3,75.59
order_000053,1,credit_card,1,221.58
order_000054,1,credit_card,9,38.81
order_000055,1,credit_card,2,155.92
order_000056,1,credit_card,9,93.29
order_000057,1,credit_card,1,99.68
order_000058,1,voucher,1,30.97
order_000059,1,boleto,7,249.15
order_000060,1,credit_card,1,39.58
order_000061,1,credit_card,4,136.92
order_000062,1,credit_card,3,32.84
order_000063,1,credit_card,7,313.64
order_000064,1,credit_card,6,126.41
order_000065,1,credit_card,2,157.04
order_000066,1,credit_card,1,122.5
order_000067,1,boleto,7,171.91
order_000068,1,credit_card,1,85.88
order_000069,1,credit_card,1,18.42
order_000070,1,credit_card,3,65.16
order_000071,1,credit_card,2,55.83
order_000072,1,credit_card,2,83.25
order_000073,1,credit_card,2,122.9
order_000074,1,credit_card,7,296.58
order_000075,1,credit_card,1,89.34
order_000076,1,credit_card,6,97.7
order_000077,1,credit_card,2,93.21
order_000078,1,credit_card,1,50.69
order_000079,1,credit_card,3,126.14
order_000080,1,credit_card,1,27.62
order_000081,1,credit_card,1,53.14
order_000082,1,credit_card,1,50.39
order_000083,1,credit_card,11,52.68
order_000084,1,boleto,2,119.03
order_000085,1,credit_card,4,20.01
order_000086,1,boleto,1,114.43
order_000087,1,credit_card,1,52.99
order_000088,1,boleto,2,101.71
order_000089,1,boleto,3,168.34
order_000090,1,voucher,7,31.17
order_000091,1,credit_card,2,103.48
order_000092,1,credit_card,1,152.8
order_000093,1,credit_card,5,60.87
order_000094,1,credit_card,1,53.67
order_000095,1,credit_card,8,35.01
order_000096,1,credit_card,5,106.66
order_000097,1,credit_card,1,31.53
order_000098,1,credit_card,1,59.1
order_000099,1,voucher,9,303.37
order_000100,1,credit_card,9,52.2
order_000101,1,boleto,3,145.48
order_000102,1,credit_card,3,104.21
order_000103,1,credit_card,1,317.93
order_000104,1,credit_card,11,126.89
order_000105,1,credit_card,2,30.12
order_000106,1,debit_card,4,75.38
order_000107,1,credit_card,4,119.39
order_000108,1,credit_card,9,164.7
order_000109,1,boleto,1,14.41
order_000110,1,credit_card,11,137.45
order_000111,1,credit_card,4,196.62
order_000112,1,credit_card,4,103.3
order_000113,1,boleto,11,62.26
order_000114,1,credit_card,2,98.38
order_000115,1,credit_card,3,87.94
order_000116,1,credit_card,2,50.0
order_000117,1,credit_card,7,31.44
order_000118,1,credit_card,1,52.49
order_000119,1,voucher,1,144.98
order_000120,1,credit_card,7,64.95
order_000121,1,credit_card,1,149.32
order_000122,1,credit_card,1,146.98
order_000123,1,credit_card,2,131.28
order_000124,1,credit_card,11,188.29
order_000125,1,credit_card,5,100.41
order_000126,1,credit_card,7,50.76
order_000127,1,credit_card,4,51.94
order_000128,1,credit_card,1,138.48
order_000129,1,credit_card,1,83.53
order_000130,1,voucher,1,142.36
order_000131,1,credit_card,10,206.02
order_000132,1,credit_card,5,96.51
order_000133,1,boleto,1,121.82
order_000134,1,credit_card,1,165.86
order_000135,1,boleto,8,21.19
order_000136,1,credit_card,8,28.65
order_000137,1,credit_card,1,279.56
order_000138,1,voucher,7,152.99
order_000139,1,credit_card,4,114.18
order_000140,1,credit_card,1,65.32
order_000141,1,credit_card,2,16.44
order_000142,1,credit_card,3,101.57
order_000143,1,credit_card,1,28.97
order_000144,1,credit_card,6,131.96
order_000145,1,credit_card,11,37.89
order_000146,1,credit_card,2,30.12
order_000147,1,credit_card,1,19.5
order_000148,1,credit_card,4,113.79
order_000149,1,credit_card,3,49.84
order_000150,1,credit_card,1,64.14
order_000151,1,credit_card,1,75.21
order_000152,1,boleto,7,39.03
order_000153,1,credit_card,1,27.47
order_000154,1,credit_card,8,100.03
order_000155,1,credit_card,2,130.04
order_000156,1,credit_card,1,84.23
order_000157,1,credit_card,5,40.54
order_000158,1,boleto,1,28.63
order_000159,1,credit_card,1,77.55
order_000160,1,credit_card,6,204.3
order_000161,1,credit_card,1,38.03
order_000162,1,credit_card,5,438.06
order_000163,1,credit_card,4,52.9
order_000164,1,credit_card,8,59.12
order_000165,1,credit_card,1,89.54
order_000166,1,credit_card,1,137.03
order_000167,1,boleto,5,67.67
order_000168,1,voucher,5,51.57
order_000169,1,credit_card,9,52.87
order_000170,1,credit_card,1,42.96
order_000171,1,credit_card,3,225.46
order_000172,1,credit_card,2,57.82
order_000173,1,boleto,1,44.42
order_000174,1,credit_card,7,158.07
order_000175,1,boleto,4,163.36
order_000176,1,voucher,12,137.97
order_000177,1,credit_card,1,94.82
order_000178,1,credit_card,1,100.61
order_000179,1,credit_card,9,94.43
order_000180,1,debit_card,9,108.75
order_000181,1,boleto,3,130.56
order_000182,1,credit_card,1,114.36
order_000183,1,credit_card,6,96.69
order_000184,1,credit_card,3,183.0
order_000185,1,credit_card,8,114.15
order_000186,1,voucher,4,159.8
order_000187,1,credit_card,1,64.12
order_000188,1,credit_card,2,35.83
order_000189,1,credit_card,1,49.03
order_000190,1,credit_card,1,85.78
order_000191,1,voucher,4,101.27
order_000192,1,boleto,9,77.62
order_000193,1,credit_card,1,66.65
order_000194,1,credit_card,5,66.18
order_000195,1,credit_card,7,103.76
order_000196,1,credit_card,3,71.0
order_000197,1,credit_card,1,55.55
order_000198,1,credit_card,11,203.97
order_000199,1,credit_card,5,55.26
order_000200,1,credit_card,8,19.21
order_000201,1,credit_card,6,105.66
order_000202,1,boleto,2,29.13
order_000203,1,credit_card,7,117.38
order_000204,1,credit_card,3,133.51
order_000205,1,boleto,1,31.86
order_000206,1,credit_card,2,86.51
order_000207,1,debit_card,1,51.93
order_000208,1,credit_card,1,172.92
order_000209,1,credit_card,6,77.77
order_000210,1,voucher,1,56.75
order_000211,1,boleto,2,111.19
order_000212,1,voucher,3,90.58
order_000213,1,credit_card,1,118.01
order_000214,1,credit_card,1,33.54
order_000215,1,boleto,8,268.16
order_000216,1,boleto,1,41.79
order_000217,1,credit_card,10,57.24
order_000218,1,credit_card,3,48.01
order_000219,1,credit_card,8,47.42
order_000220,1,credit_card,1,276.19
order_000221,1,credit_card,2,155.89
order_000222,1,boleto,1,74.74
order_000223,1,credit_card,3,76.03
order_000224,1,credit_card,2,102.86
order_000225,1,credit_card,1,302.04
order_000226,1,debit_card,1,57.04
order_000227,1,credit_card,1,226.63
order_000228,1,credit_card,4,92.89
order_000229,1,credit_card,1,117.98
order_000230,1,credit_card,8,26.39
order_000231,1,credit_card,5,26.99
order_000232,1,credit_card,4,120.59
order_000233,1,credit_card,4,81.14
order_000234,1,credit_card,10,190.57
order_000235,1,credit_card,7,268.35
order_000236,1,boleto,3,25.56
order_000237,1,credit_card,5,132.2
order_000238,1,credit_card,1,74.52
order_000239,1,credit_card,1,46.48
order_000240,1,credit_card,1,207.56
order_000241,1,boleto,4,156.63
order_000242,1,credit_card,1,63.34
order_000243,1,boleto,2,43.95
order_000244,1,credit_card,1,118.35
order_000245,1,credit_card,1,209.14
order_000246,1,credit_card,1,119.2
order_000247,1,credit_card,1,94.31
order_000248,1,boleto,7,148.28
order_000249,1,credit_card,1,131.52
order_000250,1,boleto,3,73.22
order_000251,1,boleto,1,79.11
order_000252,1,credit_card,3,45.88
order_000253,1,credit_card,9,97.84
order_000254,1,credit_card,5,48.96
order_000255,1,credit_card,8,30.46
order_000256,1,credit_card,1,76.64
order_000257,1,credit_card,2,47.77
order_000258,1,credit_card,4,48.45
order_000259,1,credit_card,2,79.59
order_000260,1,credit_card,10,112.22
order_000261,1,credit_card,3,101.22
order_000262,1,credit_card,5,79.84
order_000263,1,voucher,9,197.41
order_000264,1,credit_card,1,51.32
order_000265,1,boleto,1,143.71
order_000266,1,credit_card,2,331.51
order_000267,1,credit_card,1,108.64
order_000268,1,boleto,1,229.48
order_000269,1,credit_card,1,129.03
order_000270,1,debit_card,3,46.12
order_000271,1,credit_card,3,42.43
order_000272,1,credit_card,1,63.87
order_000273,1,boleto,2,87.85
order_000274,1,credit_card,4,69.48
order_000275,1,boleto,1,72.4
order_000276,1,credit_card,1,58.33
order_000277,1,credit_card,4,37.8
order_000278,1,credit_card,3,101.64
order_000279,1,credit_card,1,254.59
order_000280,1,credit_card,1,113.42
order_000281,1,boleto,2,220.55
order_000282,1,credit_card,9,29.63
order_000283,1,credit_card,1,53.08
order_000284,1,credit_card,2,137.29
order_000285,1,credit_card,10,71.7
order_000286,1,credit_card,11,142.62
order_000287,1,credit_card,1,53.11
order_000288,1,credit_card,3,57.63
order_000289,1,boleto,3,205.83
order_000290,1,credit_card,2,360.26
order_000291,1,credit_card,1,85.42
order_000292,1,credit_card,4,162.35
order_000293,1,credit_card,7,30.71
order_000294,1,credit_card,2,191.18
order_000295,1,credit_card,1,153.29
order_000296,1,credit_card,8,229.24
order_000297,1,credit_card,11,82.47
order_000298,1,voucher,1,80.76
order_000299,1,boleto,7,28.93
order_000300,1,credit_card,1,22.26
order_000301,1,credit_card,1,38.49
order_000302,1,credit_card,11,188.56
order_000303,1,credit_card,3,306.11
order_000304,1,boleto,3,144.33
order_000305,1,credit_card,3,166.56
order_000306,1,credit_card,2,224.13
order_000307,1,voucher,1,216.42
order_000308,1,credit_card,1,30.83
order_000309,1,credit_card,4,219.62
order_000310,1,credit_card,1,133.43
order_000311,1,credit_card,1,262.78
order_000312,1,boleto,7,90.36
order_000313,1,credit_card,2,94.11
order_000314,1,credit_card,6,37.79
order_000315,1,boleto,9,252.24
order_000316,1,credit_card,3,192.33
order_000317,1,credit_card,2,225.91
order_000318,1,credit_card,5,18.08
order_000319,1,credit_card,1,25.34
order_000320,1,credit_card,4,64.14
order_000321,1,credit_card,10,114.24
order_000322,1,credit_card,1,268.56
order_000323,1,credit_card,5,29.44
order_000324,1,credit_card,5,221.5
order_000325,1,boleto,3,63.21
order_000326,1,credit_card,7,13.81
order_000327,1,boleto,9,136.58
order_000328,1,credit_card,1,206.25
order_000329,1,credit_card,1,403.97
order_000330,1,credit_card,11,90.66
order_000331,1,credit_card,6,44.01
order_000332,1,debit_card,1,29.26
order_000333,1,boleto,1,314.14
order_000334,1,credit_card,7,26.05
order_000335,1,boleto,1,39.29
order_000336,1,boleto,11,110.76
order_000337,1,credit_card,8,16.57
order_000338,1,boleto,9,53.91
order_000339,1,credit_card,6,48.78
order_000340,1,credit_card,1,294.98
order_000341,1,credit_card,1,34.41
order_000342,1,credit_card,8,53.69
order_000343,1,credit_card,1,118.81
order_000344,1,credit_card,6,95.2
order_000345,1,credit_card,3,41.37
order_000346,1,credit_card,1,107.27
order_000347,1,credit_card,1,62.44
order_000348,1,credit_card,2,59.07
order_000349,1,credit_card,1,27.09
order_000350,1,boleto,1,229.85
order_000351,1,credit_card,1,164.22
order_000352,1,boleto,2,70.27
order_000353,1,voucher,1,129.24
order_000354,1,credit_card,1,80.38
order_000355,1,credit_card,7,35.82
order_000356,1,credit_card,1,16.5
order_000357,1,debit_card,1,341.46
order_000358,1,credit_card,3,96.22
order_000359,1,credit_card,2,38.47
order_000360,1,credit_card,7,78.08
order_000361,1,credit_card,7,132.1
order_000362,1,credit_card,1,38.05
order_000363,1,credit_card,9,60.81
order_000364,1,boleto,1,60.28
order_000365,1,credit_card,2,120.97
order_000366,1,voucher,5,151.19
order_000367,1,credit_card,1,43.51
order_000368,1,credit_card,1,79.48
order_000369,1,credit_card,4,34.88
order_000370,1,boleto,11,449.34
order_000371,1,boleto,3,84.89
order_000372,1,credit_card,11,166.38
order_000373,1,credit_card,1,98.5
order_000374,1,boleto,3,55.36
order_000375,1,credit_card,7,192.93
order_000376,1,credit_card,7,232.86
order_000377,1,boleto,3,47.62
order_000378,1,credit_card,1,152.27
order_000379,1,credit_card,8,286.16
order_000380,1,credit_card,5,95.77
order_000381,1,credit_card,1,78.21
order_000382,1,credit_card,1,96.6
order_000383,1,credit_card,2,41.51
order_000384,1,credit_card,6,80.36
order_000385,1,credit_card,1,36.0
order_000386,1,credit_card,1,27.76
order_000387,1,credit_card,8,160.09
order_000388,1,credit_card,8,39.28
order_000389,1,boleto,1,224.23
order_000390,1,credit_card,1,167.34
order_000391,1,boleto,7,37.21
order_000392,1,boleto,11,111.97
order_000393,1,boleto,10,36.7
order_000394,1,credit_card,1,52.1
order_000395,1,boleto,5,98.34
order_000396,1,credit_card,2,93.3
order_000397,1,boleto,2,110.57
order_000398,1,credit_card,1,139.49
order_000399,1,credit_card,1,215.15
order_000400,1,credit_card,1,45.33
order_000401,1,boleto,1,22.81
order_000402,1,credit_card,6,110.28
order_000403,1,boleto,6,313.15
order_000404,1,debit_card,1,69.9
order_000405,1,credit_card,1,55.43
order_000406,1,voucher,1,45.79
order_000407,1,credit_card,5,293.99
order_000408,1,boleto,4,29.52
order_000409,1,credit_card,1,45.88
order_000410,1,credit_card,2,101.59
order_000411,1,boleto,1,133.71
order_000412,1,credit_card,8,27.12
