customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
cust_070895,ucust_000000,45627,brasilia,PR
cust_012901,ucust_000001,42981,sao paulo,SP
cust_080246,ucust_000002,97243,rio de janeiro,SP
cust_086707,ucust_000003,82078,rio de janeiro,RJ
cust_073606,ucust_000004,60863,curitiba,ES
cust_045475,ucust_000005,76165,sao paulo,RJ
cust_013880,ucust_000006,22397,brasilia,RS
cust_021520,ucust_000007,85226,belo horizonte,PE
cust_000834,ucust_000008,27218,belo horizonte,ES
cust_070621,ucust_000009,32616,curitiba,PR
cust_000854,ucust_000010,67083,brasilia,RS
cust_057718,ucust_000011,20323,brasilia,CE
cust_073666,ucust_000012,65815,curitiba,RJ
cust_050302,ucust_000013,86189,sao paulo,SP
cust_025722,ucust_000014,62866,sao paulo,SP
cust_026958,ucust_000015,21228,curitiba,RS
cust_029395,ucust_000016,59636,curitiba,SP
cust_058523,ucust_000017,89471,belo horizonte,SP
cust_069532,ucust_000018,59558,belo horizonte,MG
cust_001434,ucust_000019,60881,belo horizonte,SP
cust_063579,ucust_000020,25881,belo horizonte,SP
cust_070498,ucust_000021,15611,curitiba,PE
cust_033439,ucust_000022,53598,sao paulo,PE
cust_047849,ucust_000023,58480,curitiba,BA
cust_052496,ucust_000024,96058,brasilia,SP
cust_005603,ucust_000025,97056,brasilia,BA
cust_011461,ucust_000026,77886,belo horizonte,CE
cust_072716,ucust_000027,62519,curitiba,RS
cust_002066,ucust_000028,75083,rio de janeiro,ES
cust_078115,ucust_000029,69331,sao paulo,RN
cust_050254,ucust_000030,89707,belo horizonte,RJ
cust_002390,ucust_000031,18219,brasilia,SP
cust_060309,ucust_000032,90482,sao paulo,PR
cust_027130,ucust_000033,27294,belo horizonte,MG
cust_020811,ucust_000034,42271,rio de janeiro,SP
cust_074725,ucust_000035,48883,curitiba,MG
cust_027839,ucust_000036,27103,belo horizonte,MG
cust_001348,ucust_000037,17029,rio de janeiro,SP
cust_060574,ucust_000038,25986,belo horizonte,RS
cust_031169,ucust_000039,64244,brasilia,SP
cust_024163,ucust_000040,67253,rio de janeiro,SP
cust_043682,ucust_000041,14222,belo horizonte,MG
cust_007293,ucust_000042,83349,belo horizonte,MG
cust_079280,ucust_000043,16440,sao paulo,SP
